lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,oqxA,qacL,sul3,tet(A)",mcr,11,9.931773037395284e-4,0.8518518518518519,48.52936084916405,45.99999999999999,arm,36,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010579497365921064,0.8596491228070176,48.97356552512893,49,arm,37,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,floR,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010147681146903877,0.9215686274509803,52.50107324602658,47,arm,38,NA
"aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,bleO,dfrA12,floR,oqxB,sul2,tet(A)",mcr,11,0.0010579497365921064,0.8596491228070176,48.97356552512893,49,arm,39,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,11,0.001101131358493825,0.8793103448275862,50.093650591678326,51.00000000000001,arm,40,NA
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,11,0.0012090854132481216,0.7088607594936709,40.383265604807946,56,arm,41,NA
"aadA1,aadA2,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3,tet(A)",mcr,11,0.001230676224198981,0.6785714285714286,38.657705148480055,57,arm,42,NA
"aadA1,aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,cmlA1,dfrA12,floR,qacL,sul3",mcr,11,9.931773037395284e-4,0.6865671641791045,39.113216206788934,45.99999999999999,arm,43,NA
"aac(3)-IV,aadA1,aadA2,aph(3')-Ia,blaCTX-M-14,blaEC,cmlA1,floR,fosA3,qacL,sul2,sul3",mcr,13,7.55678383280076e-4,0.9722222222222222,55.38677053437201,35,arm,44,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,13,7.340875723292167e-4,0.8947368421052632,50.97248656697093,34,arm,45,NA
"aadA1,aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3,tet(A)",mcr,13,7.340875723292167e-4,0.6938775510204082,39.5296834600999,34,arm,46,NA
"aac(3)-IV,aadA1,aadA2,blaCTX-M-14,blaEC,bleO,cmlA1,dfrA12,fosA3,mph(A),oqxA2,oqxB2,qacL,sul1,sul2,sul3",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,47,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,48,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,49,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,50,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,51,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,52,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,53,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,54,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,55,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,56,NA
